,Ticker
1182,LCT.AX
1183,LAU.AX
1184,LAME4.SA
1185,KOV.AX
1186,KME.AX
1187,KBC.AX
1188,JMLP
1189,IVX.DE
1190,IRI.AX
1191,IREBY
1192,IGAP
1193,IBO
1194,ALME
1195,HLDX.ST
1196,HIL.AX
1197,HDRAR
1198,HCAC
1199,HADV
1200,GPIAU
1201,GPACW
1202,GIL.TO
1203,GGACR
1204,GDO
1205,GCV
1206,FUTU
1207,RSTA.DE
1208,AWON
1209,FNTCW
1210,FBAK
1211,FABK
1212,ESOA
1213,ELUXY
1214,ECEX.ST
1215,ECACR
1216,EACQW
1217,EAB
1218,E5H.SI
1219,DTEGY
1220,DNSKY
1221,DBRM
1222,CPU.AX
1223,CMW.AX
1224,UAHC
1225,CLAS-B.ST
1226,CLACU
1227,CEAI
1228,CBA.AX
1229,CARL-B.CO
1230,CADT
1231,BOE.V
1232,BILL.ST
1233,BHARTIARTL.NS
1234,BHACR
1235,BBTO-B.ST
1236,BBG.AX
1237,BAYRY
1238,BAC-PL
1239,AZN.L
1240,AXY.TO
1241,AXST
1242,AXIH
1243,AXFO.ST
1244,AXAHY
1245,AUSI
1246,ATD-A.TO
1247,ATAR
1248,ASURB.MX
1249,ASML.AS
1250,ASHOKLEY.NS
1251,ASHG
1252,ASCS
1253,AQN.TO
1254,AQ.V
1255,APY.TO
1256,APDNW
1257,APBR.BA
1258,AOREF
1259,ANPDF
1260,ANN.AX
1261,ANAV
1262,AMUB
1263,AMPLQ
1264,AMM.TO
1265,AMIN
1266,AMBZ
1267,AMBTQ
1268,AMAVF
1269,ALYE
1270,ALSE
1271,ALRT
1272,ALNPY
1273,ALN.V
1274,ALMG
1275,ALEHT.PA
1276,AKTS
1277,AJX.TO
1278,AIM.TO
1279,AHII
1280,AHFP
1281,AGL.L
1282,AGIN
1283,AFSE
1284,AFBG
1285,AEM.TO
1286,ADTM
1287,ADMF.JK
1288,ADLS
1289,ADHI.JK
1290,ADES.JK
1291,ACQ.TO
1292,ACCA
1293,ABNK
1294,ABKI
1295,0522.HK
1296,PNA.AX
1297,ZRL.AX
1298,ZGL.AX
1299,XDC.TO
1300,XANO-B.ST
1301,WWRB
1302,WWASA.OL
1303,WSA.AX
1304,WOR.AX
1305,WETM
1306,WEC.AX
1307,WBC.NZ
1308,WBC.AX
1309,WBA.AX
1310,WALMEX.MX
1311,VWS.DE
1312,SDL.AX
1313,VOIL
1314,VIP.AX
1315,VII.AX
1316,VIE.AX
1317,VBHLF
1318,UGL.AX
1319,UBAB
1320,TPM.AX
1321,TGZ.AX
1322,TGR.AX
1323,TCN.AX
1324,TCL.AX
1325,TCL-A.TO
1326,SUD.AX
1327,STWRY
1328,RRS.AX
1329,ARCS
1330,SKFRY
1331,SIPH.PA
1332,SAND.ST
1333,RWEOY
1334,RKET.DE
1335,RHC.AX
1336,RAFI
1337,QUBSF
1338,PTPF
1339,PRKA
1340,PLS.AX
1341,PETS.L
1342,PAEKY
1343,PAACU
1344,OZL.AX
1345,OTS.OL
1346,OSI.PA
1347,ORXOY
1348,ORK.OL
1349,OKU.AX
1350,NSX.AX
1351,NOEJ.DE
1352,NOE.AX
1353,NOA.TO
1354,NML.AX
1355,MYR.AX
1356,MTN.MX
1357,MT.PA
1358,MQ.ST
1359,MOC.AX
1360,MMR.AX
1361,MLPZ
1362,MLPQ
1363,MKO.AX
1364,MHM
1365,LUPE.ST
1366,LSPN.DE
1367,LNR.AX
1368,LMFAU
1369,LAS.L
1370,KRS.AX
1371,KNH.AX
1372,KMF
1373,KLREW
1374,KLRE
1375,KKT.AX
1376,KINV-B.ST
1377,KAS.AX
1378,JRV.AX
1379,JOES
1380,ORS.AX
1381,IOX.OL
1382,INPC.JK
1383,IMU.AX
1384,ILU.AX
1385,IFNNY
1386,HWO.TO
1387,HVN.AX
1388,HISP
1389,HGKGF
1390,GPAC
1391,GOOG.MX
1392,GNGBY
1393,GNC.AX
1394,GML.AX
1395,GLUX
1396,GID.AX
